MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss
 
stn;time;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
ALT;20200101;12;0;100;979.6;0.0;0;0.2;-0.7;1.5;96.5
ALT;20200102;21;0;100;977.9;0.0;0;0.5;-1.1;1.9;91.1
ALT;20200103;29;0;50;976.3;0.5;2;1.2;-1.0;3.2;91.3
ALT;20200104;37;0;79;979.6;0.0;35;5.1;2.2;7.9;85.2
ALT;20200105;56;0;42;981.7;0.0;238;2.3;-2.1;5.7;81.0
ALT;20200106;57;0;0;977.1;0.0;238;-0.7;-3.9;4.4;85.2
ALT;20200107;65;0;29;977.7;0.0;238;1.4;-3.3;6.3;85.9
ALT;20200108;60;0;42;978.0;0.0;235;1.3;-2.7;7.9;78.4
ALT;20200109;56;0;29;971.0;0.0;237;2.4;-1.0;7.5;76.2
ALT;20200110;59;0;67;972.3;0.0;165;3.2;-1.3;8.5;81.0
ALT;20200111;60;0;33;979.0;0.0;240;2.9;-3.2;7.7;82.0
ALT;20200112;64;0;38;976.4;0.0;242;-0.1;-4.5;5.3;78.7
ALT;20200113;57;0;50;970.7;0.0;129;-0.4;-4.2;5.6;77.3
ALT;20200114;62;0;33;967.6;0.0;226;0.5;-5.0;6.0;74.4
ALT;20200115;63;0;4;970.9;0.0;244;1.1;-3.2;8.2;76.1
ALT;20200116;63;0;0;975.3;0.0;246;1.4;-2.9;8.5;77.4
ALT;20200117;62;0;42;970.9;5.6;211;3.0;-3.7;8.7;77.0
ALT;20200118;69;0;83;975.1;0.2;238;3.8;0.4;7.2;80.6
ALT;20200119;45;0;79;981.1;0.0;60;1.0;-3.8;4.4;79.4
ALT;20200120;72;0;0;987.1;0.0;277;-1.5;-5.6;2.2;70.6
ALT;20200121;72;0;29;985.4;0.0;248;-0.4;-4.5;2.6;82.3
ALT;20200122;42;0;67;980.7;0.0;66;0.1;-2.6;2.3;90.0
ALT;20200123;19;0;100;976.0;0.0;0;0.4;-0.6;1.3;86.8
ALT;20200124;34;0;67;972.7;0.0;1;-0.6;-2.7;1.5;93.5
ALT;20200125;67;0;21;970.0;0.0;233;0.1;-3.8;3.7;93.5
ALT;20200126;67;0;21;968.1;0.0;200;2.2;-1.0;5.6;92.1
ALT;20200127;74;0;67;962.8;0.0;237;4.7;-0.8;7.9;76.6
ALT;20200128;8;0;100;955.6;12.5;0;5.1;2.3;9.2;78.1
ALT;20200129;11;0;96;962.8;6.0;0;2.7;1.5;4.9;89.5
ALT;20200130;87;0;79;965.9;3.4;307;4.3;-1.1;8.5;82.7
ALT;20200131;62;0;58;966.1;0.1;150;7.3;2.8;13.7;89.8
ALT;20200201;61;0;88;963.9;0.3;151;7.5;1.7;11.6;81.6
ALT;20200202;12;0;100;967.2;17.4;0;8.4;5.8;10.7;92.1
ALT;20200203;5;0;100;967.4;14.3;0;9.7;8.5;10.9;90.2
ALT;20200204;17;0;100;964.7;11.3;0;5.6;0.6;16.0;66.9
ALT;20200205;80;0;54;979.1;1.4;150;3.0;-2.8;6.3;62.5
ALT;20200206;100;0;21;978.3;0.0;366;-0.4;-3.7;4.5;70.2
ALT;20200207;111;0;0;974.2;0.0;401;-0.4;-4.6;5.5;79.8
ALT;20200208;98;0;46;973.3;0.0;340;0.8;-3.9;6.9;80.3
ALT;20200209;110;0;75;969.3;0.0;390;6.0;-2.5;13.5;55.5
ALT;20200210;30;0;92;958.0;3.9;3;13.6;7.7;18.1;40.1
ALT;20200211;23;0;100;962.9;5.7;0;7.6;3.0;15.2;62.4
ALT;20200212;39;0;83;970.1;0.0;0;3.3;-0.5;5.9;75.9
ALT;20200213;87;0;58;962.3;16.1;199;5.0;-2.5;12.8;61.2
ALT;20200214;88;0;63;971.0;0.2;168;6.4;0.3;10.9;72.7
ALT;20200215;117;0;54;972.4;0.0;381;3.7;-2.3;10.1;76.4
ALT;20200216;70;0;79;968.0;0.0;15;5.7;-1.1;11.3;72.6
ALT;20200217;102;0;83;969.4;2.4;293;7.2;1.5;16.0;76.6
ALT;20200218;141;0;54;976.3;0.0;405;6.2;2.6;10.1;70.1
ALT;20200219;28;0;100;973.0;7.3;0;3.9;0.6;7.9;74.3
