stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
ALT;18640101;-;-;-;971.4;51.3;-;-3.8;-;-;-
ALT;18640201;-;-;-;959.9;46.7;-;0.5;-;-;-
ALT;18640301;-;-;-;955.4;39;-;6.4;-;-;-
ALT;18640401;-;-;-;963.8;194.3;-;8.3;-;-;-
ALT;18640501;-;-;-;961.4;128;-;13.5;-;-;-
ALT;18640601;-;-;-;963.9;208.7;-;15.3;-;-;-
ALT;18640701;-;-;-;964.4;204;-;17.6;-;-;-
ALT;18640801;-;-;-;965.6;89;-;16.3;-;-;-
ALT;18640901;-;-;-;965.9;81.3;-;13.9;-;-;-
ALT;18641001;-;-;-;958.5;31.1;-;9.9;-;-;-
ALT;18641101;-;-;-;959.2;86;-;5;-;-;-
ALT;18641201;-;-;-;963.7;7.3;-;-0.7;-;-;-
ALT;18650101;-;-;-;954.4;66.7;-;1.7;-;-;-
ALT;18650201;-;-;-;959.6;31.6;-;-0.2;-;-;-
ALT;18650301;-;-;-;955.7;85.5;-;0.4;-;-;-
ALT;18650401;-;-;-;966.8;1.3;-;13.5;-;-;-
ALT;18650501;-;-;-;964.2;70.3;-;17.2;-;-;-
ALT;18650601;-;-;-;966.6;88.9;-;16.9;-;-;-
ALT;18650701;-;-;-;964.8;257.2;-;19.5;-;-;-
ALT;18650801;-;-;-;963.3;228.2;-;16.5;-;-;-
ALT;18650901;-;-;-;971.8;2;-;16.2;-;-;-
ALT;18651001;-;-;-;958;109.5;-;10.9;-;-;-
ALT;18651101;-;-;-;964.1;87.9;-;6.6;-;-;-
ALT;18651201;-;-;-;974.1;5.9;-;-0.3;-;-;-
ALT;18660101;-;-;-;-;78.4;-;2.8;-;-;-
ALT;18660201;-;-;-;-;134.5;-;5.3;-;-;-
ALT;18660301;-;-;-;-;143.2;-;6;-;-;-
ALT;18660401;-;-;-;-;121.9;-;10.8;-;-;-
ALT;18660501;-;-;-;-;105.2;-;11.5;-;-;-
ALT;18660601;-;-;-;-;70;-;18.1;-;-;-
ALT;18660701;-;-;-;-;149.8;-;18.1;-;-;-
ALT;18660801;-;-;-;-;279.3;-;15.7;-;-;-
ALT;18660901;-;-;-;-;117.4;-;15.7;-;-;-
ALT;18661001;-;-;-;-;4;-;9.7;-;-;-
ALT;18661101;-;-;-;-;241.7;-;4.3;-;-;-
ALT;18661201;-;-;-;-;119.9;-;2.6;-;-;-
ALT;18670101;-;-;-;957.5;179.9;-;0.8;-;-;-
ALT;18670201;-;-;-;972.2;105.4;-;6.6;-;-;-
ALT;18670301;-;-;-;957;130.7;-;6.1;-;-;-
ALT;18670401;-;-;-;963.6;201.3;-;9.9;-;-;-
ALT;18670501;-;-;-;963.4;117.2;-;14;-;-;-
ALT;18670601;-;-;-;966.8;157.1;-;16.4;-;-;-
ALT;18670701;-;-;-;966.2;54.4;-;17.2;-;-;-
ALT;18670801;-;-;-;966.6;86.1;-;18.3;-;-;-
ALT;18670901;-;-;-;969.1;71.2;-;15.6;-;-;-
ALT;18671001;-;-;-;965.7;220.3;-;8;-;-;-
ALT;18671101;-;-;-;971.5;20.9;-;3.7;-;-;-
ALT;18671201;-;-;-;963.1;200.8;-;-0.7;-;-;-
ALT;18680101;-;-;-;964.5;74.2;-;-1.4;-;-;-
ALT;18680201;-;-;-;973.3;24.9;-;3.2;-;-;-
ALT;18680301;-;-;-;965.7;268.9;-;3.8;-;-;-
ALT;18680401;-;-;-;964.1;124.6;-;8.6;-;-;-
ALT;18680501;-;-;-;966.1;43.5;-;17.9;-;-;-
ALT;18680601;-;-;-;968;137.5;-;17.7;-;-;-
ALT;18680701;-;-;-;965.6;185.1;-;18.1;-;-;-
ALT;18680801;-;-;-;966;71.9;-;18.4;-;-;-
ALT;18680901;-;-;-;963.5;113.7;-;16.9;-;-;-
ALT;18681001;-;-;-;965.9;230.2;-;9.9;-;-;-
ALT;18681101;-;-;-;965.4;38.6;-;2.9;-;-;-
ALT;18681201;-;-;-;962.2;188.2;-;6.6;-;-;-
ALT;18690101;-;-;-;971.3;51.1;-;0.7;-;-;-
ALT;18690201;-;-;-;970.7;37.4;-;6.7;-;-;-
ALT;18690301;-;-;-;952.6;143.2;-;2.2;-;-;-
ALT;18690401;-;-;-;964.2;142.5;-;10.7;-;-;-
ALT;18690501;-;-;-;959.6;119.5;-;15.6;-;-;-
ALT;18690601;-;-;-;965.4;164.9;-;14.3;-;-;-
ALT;18690701;-;-;-;966.6;145.8;-;20.4;-;-;-
ALT;18690801;-;-;-;967.4;233.5;-;16.1;-;-;-
ALT;18690901;-;-;-;965.4;58.8;-;15.5;-;-;-
ALT;18691001;-;-;-;966.5;86.3;-;7.5;-;-;-
ALT;18691101;-;-;-;964.2;125.4;-;5;-;-;-
ALT;18691201;-;-;-;959.9;104.9;-;0.9;-;-;-
ALT;18700101;-;-;-;965.5;26;-;-0.2;-;-;-
